Latitude,Longitude
35.211037, -97.438866
35.222366,-97.45298
35.261436,-97.47378
35.26264,-97.47451
35.26264,-97.47452
35.265636,-97.47737
35.340107,-97.49224
35.41994,-97.48859
35.458927,-97.532814
35.46053,-97.63156
35.47257,-97.733025
35.50106,-97.83077
35.501316,-97.94165
35.52991,-98.05189
35.530773,-98.16442
35.53605,-98.273796
35.529335,-98.38426
35.529556,-98.50059
35.536488,-98.61419
 35.52057,-98.72248
35.520123,-98.835945
35.502594,-98.94335
35.48013,-99.05
35.455364,-99.15439
35.421776,-99.25842
35.4?18236,-99.37201
35.386204,-99.46552
35.35438,-99.56418
35. 281994,-99.62334
35.264923,-99.64069
35.264828,-99.64063
35.264828,-99.64063
35.265366,-99.641 396
35.265354,-99.641365
35.261745,-99.70875
35.22985,-99.81576
35.22901,-99.93259
35.226913,-100.04783
35.226994,-100.16126
35.227936,-100.273575
35.227097,-100.38638
35.227123,-100.501236
35.227234,-100.616295
35.21526,-100.72818
35.18048,-100.82745
35.183147,-100.94029
35.19?1074,-101.05415
35.20764,-101.16036
35.20778,-101.27551
35.21894,-101.38?77
35.221462,-101.50236
35.210842,-101.61481
35.192883,-101.72446
35.192505,-101.83214
35.18705,-101.93409
35.19103,-102.0468
35.20729,-102.16088
35.215508,-102.27381
35.236897,-102.38758
35.25755,-102.4985
35.272945,-102.61296
35.268818,-102.72919
35.23683,-102.838425
35.199734,-102.94564
35.18343,-103.05836
35.152092,-103.16747
35.115257,-103.27495
35.124714,-103.38775
35.17315,-103.485535
35.172768,-103.597244
35.157658,-103.70217
35.159042,-103.70167
35.1594,-103.70179
35.147926,-103.79331
35.11999,-103.900314
35.10943,-104.01425
35.07985,-104.12585
35.068653,-104.24071
35.050274,-104.35422
35.01251,-104.46095
34.98116,-104.57047
34.946884,-104.677124
34.968815,-104.78602
34.971947,-104.9009
34.978043,-105.0195
34.983997,-105.13808
34.989727,-105.254524
34  .995?377,-105.37156
35.003674,-105.48722
35.004974,-105.60317
35.007736,-105.715706
35.00534,-105.83373
35.00497,-105.95072
35.01412,-106.06854
35.057503,-106.17382
35.09917,-106.279816
35.090717,-106.375015
35.063335,-106.47117
35.098923,-106.5718
35.10553,-106.68067
35.07083,-106.776596
35.045906,-106.8863
35.02006, -106.99906
34.98517,-107.10871
34.991684,-107.22471
35.01878,-107.32942
35.02692,-107.424614
35.038475,-107.48917
35.054356,-107.51964
35.075836,-107.61857
35.06721,-107.73006
35.12122,-107.82515
35.186462,-107.90316
35.26172,-107.975784
35.34959,-108.01797
35.38251,-108.12621
